airbnb_listing_id,adr_vendidas,adr_ofertadas,ocupacao,pickup_13d,adr_fallback,adr,revpan,receita_77n
41285546,332.33334,850.0,0.1428571428571429,0.10810810810810811,False,332.33334,47.47619142857145,3655.6667400000015
41493620,750.0,750.0,0.051948051948051965,0.05194805194805195,False,750.0,38.96103896103897,3000.000000000001
41590719,450.0,450.0,0.33766233766233766,0.1206896551724138,False,450.0,151.94805194805195,11700.0
41702158,1500.0,1200.0,0.7012987012987013,0.36363636363636365,False,1500.0,1051.948051948052,81000.0
41761142,600.0,290.0,0.6753246753246753,0.24242424242424243,False,600.0,405.1948051948052,31200.0
41762297,1618.75,1618.75,0.16883116883116878,0.16883116883116883,False,1618.75,273.29545454545445,21043.749999999993
41769298,1000.0,1000.0,0.37662337662337664,0.29411764705882354,False,1000.0,376.62337662337666,29000.000000000004
42003334,600.0,500.0,0.33766233766233766,0.07272727272727272,False,600.0,202.5974025974026,15600.0
42335961,830.0,800.0,0.4155844155844156,0.3835616438356164,False,830.0,344.935064935065,26560.000000000004
42704327,1901.8333,1798.0,0.19480519480519476,0.06666666666666667,False,1901.8333,370.4870064935064,28527.49949999999
42709234,989.0,420.0,0.10389610389610393,0.1568627450980392,False,989.0,102.75324675324678,7912.000000000003
42841323,563.0,505.0,0.8051948051948052,0.2857142857142857,False,563.0,453.32467532467535,34906.0
43754654,895.0,895.0,0.11688311688311692,0.08108108108108109,False,895.0,104.61038961038965,8055.000000000003
45531969,650.0,650.0,0.8441558441558441,0.84375,False,650.0,548.7012987012987,42250.0
45768161,900.0,900.0,0.2597402597402597,0.13636363636363635,False,900.0,233.76623376623374,17999.999999999996
45803876,450.0,450.0,0.48051948051948057,0.375,False,450.0,216.23376623376626,16650.000000000004
45822839,540.0,540.0,0.4155844155844156,0.23728813559322035,False,540.0,224.41558441558442,17280.0
45911573,1100.0,1100.0,0.7272727272727273,0.4666666666666667,False,1100.0,800.0,61600.0
45911990,560.0,560.0,0.961038961038961,0.8846153846153846,False,560.0,538.1818181818181,41439.99999999999
45973790,669.83335,660.0,0.051948051948051965,0.05194805194805195,False,669.83335,34.79653766233768,2679.3334000000013
46036384,312.5,335.0,0.4675324675324676,0.075,False,312.5,146.10389610389612,11250.000000000002
46048925,1100.0,900.0,0.2597402597402597,0.18571428571428572,False,1100.0,285.71428571428567,21999.999999999996
46072703,920.0,687.0,0.6233766233766234,0.17142857142857143,False,920.0,573.5064935064935,44160.0
46088002,648.0,648.0,0.4415584415584416,0.25862068965517243,False,648.0,286.12987012987014,22032.0
46116173,300.0,344.75,0.7792207792207793,0.15,False,300.0,233.76623376623377,18000.0
46220279,697.0,697.0,0.3246753246753247,0.2571428571428571,False,697.0,226.2987012987013,17425.0
46298558,700.0,490.0,0.5324675324675325,0.10810810810810811,False,700.0,372.72727272727275,28700.0
46598066,1100.0,1100.0,0.22077922077922074,0.15492957746478872,False,1100.0,242.8571428571428,18699.999999999996
46678933,800.0,750.0,0.18181818181818177,0.18181818181818182,False,800.0,145.4545454545454,11199.999999999996
46710652,666.0,550.0,0.3116883116883117,0.07017543859649122,False,666.0,207.58441558441558,15984.0
46724379,599.0,599.0,0.3246753246753247,0.3246753246753247,False,599.0,194.4805194805195,14975.0
46769078,1392.0,988.0,0.1428571428571429,0.014925373134328358,False,1392.0,198.85714285714292,15312.000000000005
46878566,450.0,500.0,0.19480519480519476,0.08823529411764706,False,450.0,87.66233766233765,6749.999999999999
46896012,706.4,668.0,0.4545454545454546,0.2,False,706.4,321.0909090909091,24724.000000000004
46990438,549.1,600.0,0.2987012987012987,0.1,False,549.1,164.01688311688312,12629.300000000001
47006355,592.0,592.0,0.5064935064935066,0.22448979591836735,False,592.0,299.84415584415586,23088.0
47052262,595.0,358.5,0.2987012987012987,0.021739130434782608,False,595.0,177.72727272727272,13685.0
47172145,700.0,700.0,0.38961038961038963,0.17543859649122806,False,700.0,272.72727272727275,21000.0
47254288,600.0,450.0,0.3116883116883117,0.08620689655172414,False,600.0,187.012987012987,14399.999999999998
47325492,731.25,700.0,0.1558441558441559,0.13333333333333333,False,731.25,113.961038961039,8775.000000000002
47326216,1200.0,1200.0,0.18181818181818177,0.11267605633802817,False,1200.0,218.18181818181813,16799.999999999996
47558531,900.0,900.0,0.06493506493506496,0.05263157894736842,False,900.0,58.44155844155846,4500.000000000002
47783121,405.0,450.0,0.5974025974025974,0.18421052631578946,False,405.0,241.94805194805193,18630.0
48080102,1000.0,450.0,0.6623376623376623,0.32142857142857145,False,1000.0,662.3376623376623,51000.0
48158176,412.5,390.0,0.7012987012987013,0.14814814814814814,False,412.5,289.2857142857143,22275.0
48243472,1494.625,1529.0,0.37662337662337664,0.13333333333333333,False,1494.625,562.9107142857143,43344.12500000001
48254075,509.0,509.0,0.8571428571428572,0.45,False,509.0,436.28571428571433,33594.00000000001
48699117,800.0,380.0,0.6103896103896104,0.16666666666666666,False,800.0,488.3116883116883,37600.0
48848529,1290.0,1000.0,0.1298701298701299,0.06944444444444445,False,1290.0,167.5324675324676,12900.000000000005
48941838,370.0,370.0,0.5844155844155844,0.13513513513513514,False,370.0,216.23376623376623,16650.0
49123621,407.75,900.0,0.16883116883116878,0.13513513513513514,False,407.75,68.84090909090907,5300.749999999998
49824103,650.0,398.0,0.6753246753246753,0.24242424242424243,False,650.0,438.961038961039,33800.0
49968308,700.0,700.0,0.9090909090909091,0.7916666666666666,False,700.0,636.3636363636364,49000.0
50047341,543.5,300.0,0.8051948051948052,0.3181818181818182,False,543.5,437.62337662337666,33697.0
